№,Народен представител,Парламентарна група,Контакти
25,"БОГДАН ВАЛЕРИЕВ БОГДАНОВ
15-ПЛЕВЕН","Парламентарна група ""Продължаваме Промяната – Демократична България""",Bogdan.Bogdanov@parliament.bg
26,"БОГОМИЛ ИВАНОВ ПЕТКОВ
7-ГАБРОВО","Парламентарна група ""Продължаваме Промяната – Демократична България""",Bogomil.Petkov@parliament.bg
27,"БОЖИДАР ПЛАМЕНОВ БОЖАНОВ
23-СОФИЯ","Парламентарна група ""Продължаваме Промяната – Демократична България""",Bozhidar.Bozhanov@parliament.bg
28,"БОЙКО ИЛИЕВ РАШКОВ
14-ПЕРНИК","Парламентарна група ""Продължаваме Промяната – Демократична България""",Boyko.Rashkov@parliament.bg
29,"БОЙКО МЕТОДИЕВ БОРИСОВ
25-СОФИЯ",Парламентарна група на ГЕРБ – СДС,Boyko.Borissov@parliament.bg
30,"БОРИС ДИМИТРОВ АЛАДЖОВ
2-БУРГАС",Парламентарна група ВЪЗРАЖДАНЕ,Boris.Aladzhov@parliament.bg
31,"БРАНИМИР НИКОЛАЕВ БАЛАЧЕВ
3-ВАРНА",Парламентарна група на ГЕРБ – СДС,Branimir.Balachev@parliament.bg
32,"ВАЛЕНТИН МИРЧОВ МИЛУШЕВ
26-СОФИЯ ОБЛАСТ",Парламентарна група на ГЕРБ – СДС,Valentin.Milushev@parliament.bg
33,"ВАЛЕРИ ПЛАМЕНОВ ЛАЧОВСКИ
15-ПЛЕВЕН",Парламентарна група на ГЕРБ – СДС,Valeri.Lachovski@parliament.bg
34,"ВАЛЕРИЯ ТОДОРОВА СЛАВОВА
16-ПЛОВДИВ ГРАД",Парламентарна група на ГЕРБ – СДС,Valeriya.Slavova@parliament.bg
35,"ВАНЯ ИВАНОВА ВАСИЛЕВА
5-ВИДИН",Нечленуващи в ПГ,Vanya.Vasileva@parliament.bg
36,"ВАСИЛ СТЕФАНОВ СТЕФАНОВ
23-СОФИЯ","Парламентарна група ""Продължаваме Промяната – Демократична България""",Vasil.Stefanov@parliament.bg
37,"ВАСИЛ ХРИСТОВ ПАНДОВ
23-СОФИЯ","Парламентарна група ""Продължаваме Промяната – Демократична България""",Vasil.Pandov@parliament.bg
38,"ВЕНКО НИКОЛОВ САБРУТЕВ
23-СОФИЯ","Парламентарна група ""Продължаваме Промяната – Демократична България""",Venko.Sabrutev@parliament.bg
39,"ВЕНЦИСЛАВ ИВАНОВ ПЕТКОВ
2-БУРГАС",Парламентарна група на ПП МЕЧ,Ventsislav.Petkov@parliament.bg
40,"ВЕНЦИСЛАВ МИХАЙЛОВ АСЕНОВ
26-СОФИЯ ОБЛАСТ","Парламентарна група ""Има Такъв Народ""",Ventsislav.Asenov@parliament.bg
41,"ВЕСЕЛИН МИЛЕНОВ ВЕШЕВ
30-ШУМЕН",Парламентарна група ВЪЗРАЖДАНЕ,Veselin.Veshev@parliament.bg
42,"ВИОЛЕТА КОЛЕВА КОМИТОВА
24-СОФИЯ",Парламентарна група на ПП МЕЧ,Violeta.Komitova@parliament.bg
43,"ВИОЛЕТА РАДЕВА КЪРПАЧЕВА
23-СОФИЯ",Парламентарна група ВЪЗРАЖДАНЕ,Violeta.Karpacheva@parliament.bg
44,"ВЛАДИМИР ВЛАДИМИРОВ ГЕОРГИЕВ
26-СОФИЯ ОБЛАСТ","Парламентарна група ""БСП – ОБЕДИНЕНА ЛЕВИЦА""",Vladimir.Georgiev@parliament.bg
45,"ГАБРИЕЛ ГЕОРГИЕВ ВЪЛКОВ
23-СОФИЯ","Парламентарна група ""БСП – ОБЕДИНЕНА ЛЕВИЦА""",Gabriel.Valkov@parliament.bg
46,"ГАЛИН НЕДЕЛЧЕВ ДУРЕВ
17-ПЛОВДИВ ОБЛАСТ","Парламентарна група ""БСП – ОБЕДИНЕНА ЛЕВИЦА""",Galin.Durev@parliament.bg
47,"ГАЛЯ СТОЯНОВА ВАСИЛЕВА
2-БУРГАС",Парламентарна група на ГЕРБ – СДС,Galya.Vasileva@parliament.bg
48,"ГЕОРГИ ИВАНОВ ГЕОРГИЕВ
1-БЛАГОЕВГРАД",Парламентарна група на ГЕРБ – СДС,Georgi.I.Georgiev@parliament.bg
49,"ГЕОРГИ НИКОЛАЕВ ГЕОРГИЕВ
29-ХАСКОВО",Парламентарна група ВЪЗРАЖДАНЕ,Georgi.N.Georgiev@parliament.bg
50,"ГЕОРГИ НИКОЛАЕВ КРЪСТЕВ
19-РУСЕ",Парламентарна група на ГЕРБ – СДС,Georgi.Krastev@parliament.bg
51,"ГЕОРГИ ТЕНЕВ СТАНКОВ
29-ХАСКОВО",Парламентарна група на ГЕРБ – СДС,Georgi.Stankov@parliament.bg
52,"ГЕОРГИ ХРИСИМИРОВ ИВАНОВ
24-СОФИЯ",Парламентарна група ВЪЗРАЖДАНЕ,Georgi.Hrisimirov@parliament.bg
53,"ГЮНАЙ МЮМЮНОВ ДАЛООЛУ
4-ВЕЛИКО ТЪРНОВО","Парламентарна група ""Движение за права и свободи – Ново начало"" – ДПС – Ново начало",Gyunay.Daloolu@parliament.bg
54,"ГЮНАЙ ХЮСМЕН ХЮСМЕН
18-РАЗГРАД",Парламентарна група на ГЕРБ – СДС,Gyunay.Hyusmen@parliament.bg
55,"ДАНИЕЛ МАКСИМ ЛОРЕР
3-ВАРНА","Парламентарна група ""Продължаваме Промяната – Демократична България""",Daniel.Lorer@parliament.bg
56,"ДАНИЕЛ ПЕТРОВ ПЕТРОВ
7-ГАБРОВО",Парламентарна група ВЪЗРАЖДАНЕ,Daniel.Petrov@parliament.bg
57,"ДАНИЕЛ СТАНИСЛАВОВ ПРОДАНОВ
27-СТАРА ЗАГОРА",Парламентарна група ВЪЗРАЖДАНЕ,Daniel.Prodanov@parliament.bg
58,"ДАНИЕЛ ТИХОМИРОВ АЛЕКСАНДРОВ
24-СОФИЯ",Парламентарна група на ГЕРБ – СДС,Daniel.Aleksandrov@parliament.bg
59,"ДАНИЕЛА КИРИЛОВА ДЖЕНЕВА
16-ПЛОВДИВ ГРАД",Парламентарна група на ГЕРБ – СДС,Daniela.Dzheneva@parliament.bg
60,"ДАНИЕЛА РУМЕНОВА РАЙЧЕВА
25-СОФИЯ",Парламентарна група на ГЕРБ – СДС,Daniela.Raycheva@parliament.bg
61,"ДАФИНКА АСПАРУХОВА СЕМЕРДЖИЕВА
13-ПАЗАРДЖИК",Парламентарна група на ГЕРБ – СДС,Dafinka.Semerdzhieva@parliament.bg
62,"ДЕЛЯН АЛЕКСАНДРОВ ДОБРЕВ
29-ХАСКОВО",Парламентарна група на ГЕРБ – СДС,Delian.Dobrev@parliament.bg
63,"ДЕЛЯН СЛАВЧЕВ ПЕЕВСКИ
1-БЛАГОЕВГРАД","Парламентарна група ""Движение за права и свободи – Ново начало"" – ДПС – Ново начало",Delyan.Peevski@parliament.bg
64,"ДЕНИЦА ДИМИТРОВА СИМЕОНОВА
6-ВРАЦА","Парламентарна група ""Продължаваме Промяната – Демократична България""",Denitsa.Simeonova@parliament.bg
65,"ДЕНИЦА ЕВГЕНИЕВА САЧЕВА
8-ДОБРИЧ",Парламентарна група на ГЕРБ – СДС,Denitsa.Sacheva@parliament.bg
66,"ДЕНИЦА ПЛАМЕНОВА НИКОЛОВА
3-ВАРНА",Парламентарна група на ГЕРБ – СДС,Denitsa.Nikolova@parliament.bg
67,"ДЕСИСЛАВ ПЕТРОВ ТАСКОВ
3-ВАРНА","Парламентарна група ""БСП – ОБЕДИНЕНА ЛЕВИЦА""",Desislav.Taskov@parliament.bg
68,"ДЕСИСЛАВА ЖЕКОВА ТАНЕВА
21-СЛИВЕН",Парламентарна група на ГЕРБ – СДС,Desislava.Taneva@parliament.bg
69,"ДЕСИТА ДИНКОВА ПЕТКОВА
27-СТАРА ЗАГОРА",Парламентарна група на ГЕРБ – СДС,Desita.Petkova@parliament.bg
70,"ДЕЯН ЦАНКОВ ДЕЧЕВ
21-СЛИВЕН","Парламентарна група ""БСП – ОБЕДИНЕНА ЛЕВИЦА""",Deyan.Dechev@parliament.bg
71,"ДЖЕВДЕТ ИБРЯМ ЧАКЪРОВ
20-СИЛИСТРА",Нечленуващи в ПГ,Djevdet.Chakarov@parliament.bg
72,"ДЖЕЙХАН ХАСАНОВ ИБРЯМОВ
30-ШУМЕН","Парламентарна група ""Алианс за права и свободи""",Dzheyhan.Ibryamov@parliament.bg
73,"ДЖЕМ ЯМЕН ЯМЕНОВ
28-ТЪРГОВИЩЕ","Парламентарна група ""Движение за права и свободи – Ново начало"" – ДПС – Ново начало",Dzhem.Yamenov@parliament.bg
74,"ДЖИПО НИКОЛОВ ДЖИПОВ
18-РАЗГРАД","Парламентарна група ""Продължаваме Промяната – Демократична България""",Dzhipo.Dzhipov@parliament.bg
75,"ДИМИТЪР АНГЕЛОВ ИВАНОВ
31-ЯМБОЛ",Парламентарна група на ГЕРБ – СДС,Dimitar.A.Ivanov@parliament.bg
76,"ДИМИТЪР ВАЛЕНТИНОВ ГЮРЕВ
17-ПЛОВДИВ ОБЛАСТ",Парламентарна група ВЪЗРАЖДАНЕ,Dimitar.Gyurev@parliament.bg
77,"ДИМИТЪР ИВАНОВ АВРАМОВ
15-ПЛЕВЕН","Парламентарна група ""Движение за права и свободи – Ново начало"" – ДПС – Ново начало",Dimitar.Avramov@parliament.bg
78,"ДИМИТЪР ИВАНОВ ГРИГОРОВ
26-СОФИЯ ОБЛАСТ","Парламентарна група ""Движение за права и свободи – Ново начало"" – ДПС – Ново начало",Dimitar.Grigorov@parliament.bg
79,"ДИМИТЪР СТОЙКОВ НИКОЛОВ
4-ВЕЛИКО ТЪРНОВО",Парламентарна група на ГЕРБ – СДС,Dimitar.Nikolov@parliament.bg
80,"ДИМИТЪР СТОЯНОВ ГЪРДЕВ
24-СОФИЯ","Парламентарна група ""Има Такъв Народ""",Dimitar.Gardev@parliament.bg
81,"ДИМО ГЕОРГИЕВ ДРЕНЧЕВ
14-ПЕРНИК",Парламентарна група ВЪЗРАЖДАНЕ,Dimo.Drenchev@parliament.bg
82,"ДИМЧО ДИМИТРОВ ДИМЧЕВ
10-КЮСТЕНДИЛ",Парламентарна група ВЪЗРАЖДАНЕ,Dimcho.Dimchev@parliament.bg
83,"ДРАГОМИР ВЕЛКОВ СТОЙНЕВ
27-СТАРА ЗАГОРА","Парламентарна група ""БСП – ОБЕДИНЕНА ЛЕВИЦА""",Dragomir.Stoynev@parliament.bg
84,"ДРАГОМИР СТЕФАНОВ ПЕТРОВ
19-РУСЕ","Парламентарна група ""Има Такъв Народ""",Dragomir.Petrov@parliament.bg
85,"ЕЛВАН БЕХЧЕТ ГЮРКАШ
9-КЪРДЖАЛИ","Парламентарна група ""Движение за права и свободи – Ново начало"" – ДПС – Ново начало",Elvan.Gyurkash@parliament.bg
86,"ЕЛИСАВЕТА ДИМИТРОВА БЕЛОБРАДОВА
23-СОФИЯ","Парламентарна група ""Продължаваме Промяната – Демократична България""",Elisaveta.Belobradova@parliament.bg
87,"ЕМИЛ ЯНКОВ ЯНКОВ
16-ПЛОВДИВ ГРАД",Парламентарна група ВЪЗРАЖДАНЕ,Emil.Yankov@parliament.bg
88,"ЕРБИЛ ХАЛИМ ХАЛИМ
29-ХАСКОВО","Парламентарна група ""Движение за права и свободи – Ново начало"" – ДПС – Ново начало",Erbil.Halim@parliament.bg
89,"ЕРТЕН БЕЛГИНОВА АНИСОВА
8-ДОБРИЧ","Парламентарна група ""Движение за права и свободи – Ново начало"" – ДПС – Ново начало",Erten.Anisova@parliament.bg
90,"ЗЛАТАН СТОЯНОВ ЗЛАТАНОВ
19-РУСЕ",Парламентарна група ВЪЗРАЖДАНЕ,Zlatan.Zlatanov@parliament.bg
91,"ИВАЙЛО ВАЛЕНТИНОВ ШОТЕВ
13-ПАЗАРДЖИК","Парламентарна група ""Продължаваме Промяната – Демократична България""",Ivaylo.Shotev@parliament.bg
92,"ИВАЙЛО ВАСИЛЕВ ПАПОВ
6-ВРАЦА",Парламентарна група ВЪЗРАЖДАНЕ,Ivaylo.Papov@parliament.bg
93,"ИВАЙЛО ГЕОРГИЕВ ЧОРБОВ
23-СОФИЯ",Парламентарна група ВЪЗРАЖДАНЕ,Ivaylo.Chorbov@parliament.bg
94,"ИВАЙЛО КОСТАДИНОВ ЛАЗАРОВ
28-ТЪРГОВИЩЕ","Парламентарна група ""ВЕЛИЧИЕ""",Ivaylo.Lazarov@parliament.bg
95,"ИВАЙЛО НИКОЛАЕВ МИРЧЕВ
23-СОФИЯ","Парламентарна група ""Продължаваме Промяната – Демократична България""",Ivaylo.Mirchev@parliament.bg
96,"ИВАЙЛО СИМЕОНОВ КОСТАДИНОВ
3-ВАРНА","Парламентарна група ""Има Такъв Народ""",Ivaylo.Kostadinov@parliament.bg
97,"ИВАН БЕЛЧЕВ БЕЛЧЕВ
19-РУСЕ","Парламентарна група ""Продължаваме Промяната – Демократична България""",Ivan.Belchev@parliament.bg
98,"ИВАН БОГОМИЛОВ ПЕТКОВ
16-ПЛОВДИВ ГРАД","Парламентарна група ""БСП – ОБЕДИНЕНА ЛЕВИЦА""",Ivan.Petkov@parliament.bg
99,"ИВАН ВЕЛИЧКОВ МИНЕВ
29-ХАСКОВО",Парламентарна група на ГЕРБ – СДС,Ivan.Minev@parliament.bg
100,"ИВАН ДАНАИЛОВ ИВАНОВ
11-ЛОВЕЧ",Парламентарна група на ПП МЕЧ,Ivan.D.Ivanov@parliament.bg
101,"ИВАН ЙОВКОВ ЧЕРВЕНКОВ
17-ПЛОВДИВ ОБЛАСТ",Парламентарна група на ГЕРБ – СДС,Ivan.Chervenkov@parliament.bg
102,"ИВАН КРАСИМИРОВ ГЕРЧЕВ
1-БЛАГОЕВГРАД",Парламентарна група на ГЕРБ – СДС,Ivan.Gerchev@parliament.bg
103,"ИВАН РУМЕНОВ КЛИСУРСКИ
6-ВРАЦА","Парламентарна група ""Има Такъв Народ""",Ivan.Klisurski@parliament.bg
104,"ИВАН ТОДОРОВ ИБРИШИМОВ
10-КЮСТЕНДИЛ","Парламентарна група ""БСП – ОБЕДИНЕНА ЛЕВИЦА""",ivan.ibrishimov@parliament.bg
105,"ИВЕЛИН ЛЮДМИЛОВ МИХАЙЛОВ
25-СОФИЯ","Парламентарна група ""ВЕЛИЧИЕ""",Ivelin.Mihaylov@parliament.bg
106,"ИВЕЛИН ПЪРВАНОВ ПЪРВАНОВ
15-ПЛЕВЕН",Парламентарна група ВЪЗРАЖДАНЕ,Ivelin.Parvanov@parliament.bg
107,"ИВО СЕВДАЛИНОВ ЦАНЕВ
6-ВРАЦА","Парламентарна група ""Движение за права и свободи – Ново начало"" – ДПС – Ново начало",Ivo.Tsanev@parliament.bg
108,"ИЛИАНА ПЕТКОВА ЖЕКОВА
27-СТАРА ЗАГОРА",Парламентарна група на ГЕРБ – СДС,Iliana.Zhekova@parliament.bg
109,"ИЛИЯН СЛАВЕЙКОВ ЙОНЧЕВ
15-ПЛЕВЕН","Парламентарна група ""БСП – ОБЕДИНЕНА ЛЕВИЦА""",Ilian.Iontchev@parliament.bg
110,"ИСКРА ДИМИТРОВА МИХАЙЛОВА-КОПАРОВА
13-ПАЗАРДЖИК","Парламентарна група ""Движение за права и свободи – Ново начало"" – ДПС – Ново начало",Iskra.Koparova@parliament.bg
111,"ИСКРА МИХАЙЛОВА МИХАЙЛОВА
27-СТАРА ЗАГОРА",Парламентарна група ВЪЗРАЖДАНЕ,Iskra.Mihaylova@parliament.bg
112,"ИСМАИЛ ЮСМЕН ОСМАН
2-БУРГАС","Парламентарна група ""Движение за права и свободи – Ново начало"" – ДПС – Ново начало",Ismail.Osman@parliament.bg
113,"ЙОРДАН КИРИЛОВ ЦОНЕВ
3-ВАРНА","Парламентарна група ""Движение за права и свободи – Ново начало"" – ДПС – Ново начало",Jordan.Tsonev@parliament.bg
114,"ЙОРДАН ХРИСТОВ ТОДОРОВ
24-СОФИЯ",Парламентарна група ВЪЗРАЖДАНЕ,Yordan.Todorov@parliament.bg
115,"ЙОРДАН ЯВОРОВ ИВАНОВ
17-ПЛОВДИВ ОБЛАСТ","Парламентарна група ""Продължаваме Промяната – Демократична България""",Yordan.Ivanov@parliament.bg
116,"ЙОРДАНКА АСЕНОВА ФАНДЪКОВА
24-СОФИЯ",Парламентарна група на ГЕРБ – СДС,Yordanka.Fandakova@parliament.bg
117,"КАЛИН ГЕОРГИЕВ СТОЯНОВ
2-БУРГАС","Парламентарна група ""Движение за права и свободи – Ново начало"" – ДПС – Ново начало",Kalin.Stoyanov@parliament.bg
118,"КИРИЛ АТАНАСОВ ВЕСЕЛИНСКИ
27-СТАРА ЗАГОРА",Парламентарна група на ПП МЕЧ,Kiril.Veselinski@parliament.bg
119,"КИРИЛ НИКОЛАЕВ ДОБРЕВ
1-БЛАГОЕВГРАД","Парламентарна група ""БСП – ОБЕДИНЕНА ЛЕВИЦА""",kiril.dobrev@parliament.bg
120,"КЛИМЕНТ ПЛАМЕНОВ ШОПОВ
21-СЛИВЕН",Парламентарна група ВЪЗРАЖДАНЕ,Kliment.Shopov@parliament.bg
121,"КОНСТАНТИНА ВЕНЦИСЛАВОВА ПЕТРОВА
8-ДОБРИЧ",Парламентарна група ВЪЗРАЖДАНЕ,Konstantina.Petrova@parliament.bg
122,"КОСТА ГЕОРГИЕВ СТОЯНОВ
3-ВАРНА",Парламентарна група ВЪЗРАЖДАНЕ,Kosta.Stoyanov@parliament.bg
123,"КОСТАДИН ГЕОРГИЕВ АНГЕЛОВ
4-ВЕЛИКО ТЪРНОВО",Парламентарна група на ГЕРБ – СДС,Kostadin.Angelov@parliament.bg
124,"КОСТАДИН ИЛИЕВ ХАДЖИЙСКИ
9-КЪРДЖАЛИ","Парламентарна група ""ВЕЛИЧИЕ""",Kostadin.Hazdhiyski@parliament.bg
125,"КОСТАДИН ТОДОРОВ КОСТАДИНОВ
3-ВАРНА",Парламентарна група ВЪЗРАЖДАНЕ,Kostadin.Kostadinov@parliament.bg
126,"КОСТАДИН ТОМОВ СТОЙКОВ
1-БЛАГОЕВГРАД",Парламентарна група на ГЕРБ – СДС,Kostadin.Stoykov@parliament.bg
127,"КРАСЕН ГЕОРГИЕВ КРЪСТЕВ
6-ВРАЦА",Парламентарна група на ГЕРБ – СДС,Krasen.Krastev@parliament.bg
128,"КРАСЕН КИРИЛОВ КРАЛЕВ
13-ПАЗАРДЖИК",Парламентарна група на ГЕРБ – СДС,Krasen.Kralev@parliament.bg
129,"КРАСИМИР БОРИСЛАВОВ ТЕРЗИЕВ
16-ПЛОВДИВ ГРАД",Парламентарна група на ГЕРБ – СДС,Krassimir.Terziev@parliament.bg
130,"КРАСИМИР ДИМЧЕВ ДОНЧЕВ
17-ПЛОВДИВ ОБЛАСТ",Парламентарна група на ПП МЕЧ,Krasimir.Donchev@parliament.bg
131,"КРАСИМИР ЙОРДАНОВ ЙОРДАНОВ
31-ЯМБОЛ","Парламентарна група ""БСП – ОБЕДИНЕНА ЛЕВИЦА""",Krasimir.Yordanov@parliament.bg
132,"КРАСИМИР МИТКОВ СЪБЕВ
22-СМОЛЯН",Парламентарна група на ГЕРБ – СДС,Krasimir.Sabev@parliament.bg
133,"КРАСИМИР ОГНЯНОВ КРАСИМИРОВ
11-ЛОВЕЧ","Парламентарна група ""Алианс за права и свободи""",Krasimir.Krassimirov@parliament.bg
134,"КРАСИМИР ЦВЕТКОВ МАНОВ
13-ПАЗАРДЖИК",Парламентарна група на ПП МЕЧ,Krasimir.Manov@parliament.bg
135,"КРАСИМИРА ПЕТКОВА НИНОВА-КАТИНЧАРОВА
27-СТАРА ЗАГОРА","Парламентарна група ""ВЕЛИЧИЕ""",Krasimira.Katincharova@parliament.bg
136,"КРИСТИАН БОЖИДАРОВ ГАНЧЕВ
3-ВАРНА",Парламентарна група на ГЕРБ – СДС,Kristian.Ganchev@parliament.bg
137,"КРИСТИНА НИКОЛАЕВА ПЕТКОВА
25-СОФИЯ","Парламентарна група ""Продължаваме Промяната – Демократична България""",Kristina.Petkova@parliament.bg
138,"КРЪСТЬО СТОЯНОВ ВРАЧЕВ
17-ПЛОВДИВ ОБЛАСТ",Парламентарна група ВЪЗРАЖДАНЕ,Krastyo.Vrachev@parliament.bg
139,"ЛАРИСА БОРИСОВА САВОВА
22-СМОЛЯН","Парламентарна група ""ВЕЛИЧИЕ""",Larisa.Savova@parliament.bg
140,"ЛЕВЕНТ ОРХАН МЕМИШ
20-СИЛИСТРА","Парламентарна група ""Алианс за права и свободи""",Levent.Memish@parliament.bg
141,"ЛЕНА ЗДРАВКОВА БОРИСЛАВОВА
24-СОФИЯ","Парламентарна група ""Продължаваме Промяната – Демократична България""",Lena.Borislavova@parliament.bg
142,"ЛЪЧЕЗАР БОГОМИЛОВ ИВАНОВ
25-СОФИЯ",Парламентарна група на ГЕРБ – СДС,Luchezar.Ivanov@parliament.bg
143,"ЛЮБЕН ИВАНОВ ИВАНОВ
5-ВИДИН","Парламентарна група ""Продължаваме Промяната – Демократична България""",Lyuben.Ivanov@parliament.bg
144,"ЛЮБЕН ЛЮБЕНОВ ДИЛОВ
2-БУРГАС",Парламентарна група на ГЕРБ – СДС,Luben.Dilov@parliament.bg
145,"ЛЮБИША БЛАЖЕВСКИ
2-БУРГАС","Парламентарна група ""ВЕЛИЧИЕ""",Ljubisha.Blazhevski@parliament.bg
146,"ЛЮБОМИР ДИМИТРОВ ХРИСТОВ
30-ШУМЕН",Парламентарна група на ГЕРБ – СДС,lyubomir.hristov@parliament.bg
147,"ЛЮБОМИР ХРИСТОВ ЗАГОРОВ
3-ВАРНА",Парламентарна група на ГЕРБ – СДС,Lyubomir.Zagorov@parliament.bg
148,"ЛЮДМИЛА НИКОЛАЕВА ИЛИЕВА
4-ВЕЛИКО ТЪРНОВО","Парламентарна група ""Продължаваме Промяната – Демократична България""",Lyudmila.Ilieva@parliament.bg
149,"МАНОИЛ МИНЧЕВ МАНЕВ
27-СТАРА ЗАГОРА",Парламентарна група на ГЕРБ – СДС,Manoil.Manev@parliament.bg
150,"МАНОЛ КОСТАДИНОВ ПЕЙКОВ
16-ПЛОВДИВ ГРАД","Парламентарна група ""Продължаваме Промяната – Демократична България""",Manol.Peykov@parliament.bg
151,"МАРГАРИТА ИВАНОВА МАХАЕВА
25-СОФИЯ",Парламентарна група ВЪЗРАЖДАНЕ,Margarita.Mahaeva@parliament.bg
152,"МАРИАНА РАДЕВА БОЯДЖИЕВА
4-ВЕЛИКО ТЪРНОВО","Парламентарна група ""БСП – ОБЕДИНЕНА ЛЕВИЦА""",mariana.boyadzhieva@parliament.bg
153,"МАРИО КИРОВ РАНГЕЛОВ
15-ПЛЕВЕН",Нечленуващи в ПГ,Mario.Rangelov@parliament.bg
154,"МАРИЯ ДИМОВА ИЛИЕВА
16-ПЛОВДИВ ГРАД","Парламентарна група ""ВЕЛИЧИЕ""",Maria.D.Ilieva@parliament.bg
155,"МАРИЯ ЩЕРЕВА БЕЛОВА
21-СЛИВЕН",Парламентарна група на ГЕРБ – СДС,Mariya.Belova@parliament.bg
156,"МАРТИН ДИМИТРОВ ДИМИТРОВ
24-СОФИЯ","Парламентарна група ""Продължаваме Промяната – Демократична България""",Martin.Dimitrov@parliament.bg
